[1416.0, 11]
[5224.0, 19]
[1901.0, 9]
[2171.0, 10]
[5874.0, 24]
[2848.0, 17]
[12571.0, 41]
[4297.0, 13]
[35900.0, 64]
[1691.0, 11]
[1851.0, 8]
[9453.0, 35]
[407.0, 4]
[4229.0, 24]
[4790.0, 20]
[2716.0, 12]
[710.0, 7]
[1357.0, 10]
[5462.0, 23]
[1063.0, 11]
[623.0, 5]
[1052.0, 8]
[944.0, 4]
[34057.0, 38]
[7487.0, 18]
[1815.0, 5]
[6160.0, 10]
[21079.0, 42]
[12064.0, 31]
[4869.0, 10]
[3336.0, 5]
[8486.0, 20]
[9604.0, 15]
[1317.0, 3]
[21616.0, 9]
[628.0, 5]
[9357.0, 44]
[1157.0, 7]
[32619.999999999996, 19]
[1168.0, 6]
[2517.0, 8]
[1391.0, 5]
[6626.0, 27]
[5853.0, 29]
[13899.0, 53]
[1046.0, 5]
[2407.0, 11]
[500.0, 5]
[5791.0, 16]
[4714.0, 13]
[3311.0, 14]
